order,family,Genus,species,mass.g.,gestation.mo.,newborn.g.,weaning.mo.,wean,refs
Carnivora,Mustelidae,Conepatus,semistriatus,1200,2,-999,-999,-999,
Carnivora,Mustelidae,Conepatus,mesoleucus,1996.67,1.7,-999,-999,-999,
Carnivora,Mustelidae,Eira,barbara,4500,2.19,82.25,2.71,1707.5,
Carnivora,Mustelidae,Enhydra,lutris,21800,7.1,1909.17,5.77,12666.67,
Carnivora,Mustelidae,Galictis,vittata,2350,1.3,-999,-999,-999,
Carnivora,Mustelidae,Gulo,gulo,16333.33,1.69,90.53,2.6,-999,
Carnivora,Mustelidae,Ictonyx,libyca,500,1.68,5,1.25,250,
Carnivora,Mustelidae,Ictonyx,striatus,765,1.2,12.5,2.6,170,
Carnivora,Mustelidae,Lontra,longicaudis,7500,1.87,-999,-999,-999,
Carnivora,Mustelidae,Lontra,felina,-999,2.45,-999,-999,-999,
Carnivora,Mustelidae,Lontra,canadensis,6225,2.01,141,4.38,1510,
Carnivora,Mustelidae,Lutra,maculicollis,4000,2,-999,-999,-999,
Carnivora,Mustelidae,Lutra,lutra,6750,2.2,-999,1.9,-999,
Carnivora,Mustelidae,Lutrogale,perspicillata,9000,2.07,-999,-999,-999,
Carnivora,Mustelidae,Martes,flavigula,2500,-999,-999,-999,-999,
Carnivora,Mustelidae,Martes,zibellina,1066.67,1.5,31.25,1.79,600,
Carnivora,Mustelidae,Martes,foina,1700,3.19,-999,1.42,-999,
Carnivora,Mustelidae,Martes,americana,606.67,0.93,32.67,1.5,414,
Carnivora,Mustelidae,Martes,pennanti,2600,1.33,34.78,2.61,-999,
Carnivora,Mustelidae,Martes,martes,1300,1.73,30,1.87,680,
Carnivora,Mustelidae,Meles,meles,13000,1.89,84.25,3.18,-999,
Carnivora,Mustelidae,Mellivora,capensis,10000,5.86,210,-999,-999,
Carnivora,Mustelidae,Melogale,personata,2000,-999,-999,-999,-999,
Carnivora,Mustelidae,Mephitis,macroura,965,2,-999,-999,-999,
Carnivora,Mustelidae,Mephitis,mephitis,1821.25,1.63,28.1,2.08,493.5,
Carnivora,Mustelidae,Mustela,nigripes,809,1.44,-999,-999,-999,
Carnivora,Mustelidae,Mustela,lutreola,440,3.32,7.5,1.88,-999,
Carnivora,Mustelidae,Mustela,altaica,171,1.25,-999,1.63,-999,
Carnivora,Mustelidae,Mustela,sibirica,405,1.06,-999,2,-999,
Carnivora,Mustelidae,Mustela,vison,899.75,1.19,8.64,1.6,110,
Carnivora,Mustelidae,Mustela,frenata,150.6,0.82,3.1,1.22,34.6,
Carnivora,Mustelidae,Mustela,erminea,110.33,1.43,2.3,1.49,26.57,
Carnivora,Mustelidae,Mustela,eversmannii,1350,1.2,5.73,1.67,-999,
Carnivora,Mustelidae,Mustela,putorius,588.67,1.05,9.26,1.64,-999,
Carnivora,Mustelidae,Mustela,nivalis,49.75,1.32,2.61,1.39,36,
Carnivora,Mustelidae,Poecilogale,albinucha,257.5,1.05,4,2.14,50,
Carnivora,Mustelidae,Pteronura,brasiliensis,24000,2.26,202.83,3.67,-999,
Carnivora,Mustelidae,Spilogale,pygmaea,260,1.57,6.9,-999,-999,
Carnivora,Mustelidae,Spilogale,putorius,511.5,2.19,13.8,1.64,160,
Carnivora,Mustelidae,Taxidea,taxus,6050,1.83,101.88,1.68,3000,
Carnivora,Mustelidae,Vormela,peregusna,542.5,2,-999,1,-999,
Carnivora,Odobenidae,Odobenus,rosmarus,650000,11.5,51883.33,20.37,200000,
Carnivora,Otariidae,Arctocephalus,galapagoensis,27000,7,3533.33,16.6,15000,
Carnivora,Otariidae,Arctocephalus,tropicalis,50000,11.75,4420,7.85,-999,
Carnivora,Otariidae,Arctocephalus,forsteri,55000,7.75,3833.33,11,-999,
Carnivora,Otariidae,Arctocephalus,gazella,40500,9,5933.33,3.9,15800,
Carnivora,Otariidae,Arctocephalus,pusillus,77666.67,9.17,5955.56,11.57,26150,
Carnivora,Otariidae,Arctocephalus,australis,45000,7.75,4250,13.5,-999,
Carnivora,Otariidae,Eumetopias,jubatus,288932.5,8.75,19215,9.71,106610,
Carnivora,Otariidae,Neophoca,cinerea,79633.33,11.75,7075,18.75,59724,
Carnivora,Otariidae,Otaria,byronia,140000,12,12763.33,12,-999,
Carnivora,Otariidae,Phocarctos,hookeri,-999,12,7000,8.67,-999,
Carnivora,Otariidae,Zalophus,californianus,84666.67,11.14,6817.14,10.75,25000,
Carnivora,Otariidae,Callorhinus,ursinus,49100,8.37,5182.73,3.22,12920,
Carnivora,Phocidae,Cystophora,cristata,212000,8.01,15388.89,0.3,44980,
Carnivora,Phocidae,Erignathus,barbatus,286666.67,8.71,36950,1,72666.67,
Carnivora,Phocidae,Halichoerus,grypus,186000,7.87,12820,0.61,43077.78,
Carnivora,Phocidae,Hydrurga,leptonyx,398666.67,9.5,30875,1,-999,
Carnivora,Phocidae,Leptonychotes,weddellii,421666.67,9.6,28394,1.33,117917.14,
Carnivora,Phocidae,Lobodon,carcinophagus,238333.33,8.5,22333.33,1.09,120000,
Carnivora,Phocidae,Mirounga,leonina,579400,7.63,39918.89,0.76,130192.31,
Carnivora,Phocidae,Mirounga,angustirostris,716666.67,8.45,35250,0.88,138037.14,
Carnivora,Phocidae,Monachus,monachus,275000,10,19600,1.55,-999,
Carnivora,Phocidae,Monachus,schauinslandi,173000,11,30675,1.24,64000,
Carnivora,Phocidae,Ommatophoca,rossii,187666.67,8.13,20266.67,1,-999,
Carnivora,Phocidae,Phoca,largha,80000,10.5,7100,0.78,21300,
Carnivora,Phocidae,Phoca,caspica,86000,11,5000,1,-999,
Carnivora,Phocidae,Phoca,hispida,86140,8.2,5909.09,1.6,11350,
Carnivora,Phocidae,Phoca,groenlandica,128786.67,7.63,8476.92,0.37,34377.78,
Carnivora,Phocidae,Phoca,fasciata,82500,9,10250,0.88,30000,
Carnivora,Phocidae,Phoca,vitulina,101250,8.35,11083.64,1.13,23945,
Carnivora,Phocidae,Phoca,sibirica,81666.67,9,3000,2.14,66900,
Carnivora,Procyonidae,Bassaricyon,gabbii,1242.5,2.45,51,-999,-999,
Carnivora,Procyonidae,Bassariscus,sumichrasti,900,2.15,-999,-999,-999,
Carnivora,Procyonidae,Bassariscus,astutus,975.5,1.81,28.58,2.26,219.35,
Carnivora,Procyonidae,Nasua,nasua,4750,2.51,153.33,2.82,730,
Carnivora,Procyonidae,Nasua,narica,3750,2.56,140,4.17,-999,
Carnivora,Procyonidae,Potos,flavus,3000,3.84,165.66,3.35,-999,
Carnivora,Procyonidae,Procyon,cancrivorus,6270,-999,-999,-999,-999,
